EER = 0.164245 for C = 1.000000e+00, gamma = 1.000000e-06 <- New Best
EER = 0.215617 for C = 1.000000e+00, gamma = 3.000000e-06 
EER = 0.338867 for C = 1.000000e+00, gamma = 5.000000e-06 
EER = 0.423066 for C = 1.000000e+00, gamma = 7.000000e-06 
EER = 0.471685 for C = 1.000000e+00, gamma = 9.000000e-06 
EER = 0.167210 for C = 1.000000e+00, gamma = 1.000000e-07 
EER = 0.158316 for C = 1.000000e+00, gamma = 3.000000e-07 <- New Best
EER = 0.154063 for C = 1.000000e+00, gamma = 5.000000e-07 <- New Best
EER = 0.158020 for C = 1.000000e+00, gamma = 7.000000e-07 
EER = 0.162504 for C = 1.000000e+00, gamma = 9.000000e-07 
EER = 0.208055 for C = 1.000000e+00, gamma = 1.000000e-08 
EER = 0.156834 for C = 1.000000e+00, gamma = 3.000000e-08 
EER = 0.161625 for C = 1.000000e+00, gamma = 5.000000e-08 
EER = 0.167507 for C = 1.000000e+00, gamma = 7.000000e-08 
EER = 0.171298 for C = 1.000000e+00, gamma = 9.000000e-08 
EER = 0.281921 for C = 1.000000e+00, gamma = 1.000000e-09 
EER = 0.246961 for C = 1.000000e+00, gamma = 3.000000e-09 
EER = 0.231270 for C = 1.000000e+00, gamma = 5.000000e-09 
EER = 0.223004 for C = 1.000000e+00, gamma = 7.000000e-09 
EER = 0.214053 for C = 1.000000e+00, gamma = 9.000000e-09 
EER = 0.263630 for C = 1.000000e+00, gamma = 1.000000e-10 
EER = 0.263806 for C = 1.000000e+00, gamma = 3.000000e-10 
EER = 0.270086 for C = 1.000000e+00, gamma = 5.000000e-10 
EER = 0.276905 for C = 1.000000e+00, gamma = 7.000000e-10 
EER = 0.279986 for C = 1.000000e+00, gamma = 9.000000e-10 
EER = 0.263278 for C = 1.000000e+00, gamma = 1.000000e-11 
EER = 0.263278 for C = 1.000000e+00, gamma = 3.000000e-11 
EER = 0.263630 for C = 1.000000e+00, gamma = 5.000000e-11 
EER = 0.263630 for C = 1.000000e+00, gamma = 7.000000e-11 
EER = 0.263630 for C = 1.000000e+00, gamma = 9.000000e-11 
EER = 0.154063 for C = 3.000000e+00, gamma = 1.000000e-06 
EER = 0.209902 for C = 3.000000e+00, gamma = 3.000000e-06 
EER = 0.322898 for C = 3.000000e+00, gamma = 5.000000e-06 
EER = 0.409428 for C = 3.000000e+00, gamma = 7.000000e-06 
EER = 0.458495 for C = 3.000000e+00, gamma = 9.000000e-06 
EER = 0.160218 for C = 3.000000e+00, gamma = 1.000000e-07 
EER = 0.141121 for C = 3.000000e+00, gamma = 3.000000e-07 <- New Best
EER = 0.133486 for C = 3.000000e+00, gamma = 5.000000e-07 <- New Best
EER = 0.144038 for C = 3.000000e+00, gamma = 7.000000e-07 
EER = 0.150904 for C = 3.000000e+00, gamma = 9.000000e-07 
EER = 0.163735 for C = 3.000000e+00, gamma = 1.000000e-08 
EER = 0.156701 for C = 3.000000e+00, gamma = 3.000000e-08 
EER = 0.173436 for C = 3.000000e+00, gamma = 5.000000e-08 
EER = 0.164245 for C = 3.000000e+00, gamma = 7.000000e-08 
EER = 0.162504 for C = 3.000000e+00, gamma = 9.000000e-08 
EER = 0.246961 for C = 3.000000e+00, gamma = 1.000000e-09 
EER = 0.215535 for C = 3.000000e+00, gamma = 3.000000e-09 
EER = 0.188556 for C = 3.000000e+00, gamma = 5.000000e-09 
EER = 0.180795 for C = 3.000000e+00, gamma = 7.000000e-09 
EER = 0.167605 for C = 3.000000e+00, gamma = 9.000000e-09 
EER = 0.263564 for C = 3.000000e+00, gamma = 1.000000e-10 
EER = 0.279870 for C = 3.000000e+00, gamma = 3.000000e-10 
EER = 0.275719 for C = 3.000000e+00, gamma = 5.000000e-10 
EER = 0.259709 for C = 3.000000e+00, gamma = 7.000000e-10 
