EER = 0.335310 for C = 1.000000e+00, gamma = 1.000000e-06 <- New Best
EER = 0.303553 for C = 1.000000e+00, gamma = 3.000000e-06 <- New Best
EER = 0.263564 for C = 1.000000e+00, gamma = 5.000000e-06 <- New Best
EER = 0.218796 for C = 1.000000e+00, gamma = 7.000000e-06 <- New Best
EER = 0.195216 for C = 1.000000e+00, gamma = 9.000000e-06 <- New Best
EER = 0.040098 for C = 1.000000e+00, gamma = 1.000000e-07 <- New Best
EER = 0.137179 for C = 1.000000e+00, gamma = 3.000000e-07 
EER = 0.234435 for C = 1.000000e+00, gamma = 5.000000e-07 
EER = 0.281055 for C = 1.000000e+00, gamma = 7.000000e-07 
EER = 0.320783 for C = 1.000000e+00, gamma = 9.000000e-07 
EER = 0.037812 for C = 1.000000e+00, gamma = 1.000000e-08 <- New Best
EER = 0.029722 for C = 1.000000e+00, gamma = 3.000000e-08 <- New Best
EER = 0.031481 for C = 1.000000e+00, gamma = 5.000000e-08 
EER = 0.034647 for C = 1.000000e+00, gamma = 7.000000e-08 
EER = 0.039219 for C = 1.000000e+00, gamma = 9.000000e-08 
EER = 0.044847 for C = 1.000000e+00, gamma = 1.000000e-09 
EER = 0.044847 for C = 1.000000e+00, gamma = 3.000000e-09 
EER = 0.044847 for C = 1.000000e+00, gamma = 5.000000e-09 
EER = 0.042099 for C = 1.000000e+00, gamma = 7.000000e-09 
EER = 0.038245 for C = 1.000000e+00, gamma = 9.000000e-09 
EER = 1.000000 for C = 1.000000e+00, gamma = 1.000000e-10 
EER = 0.044847 for C = 1.000000e+00, gamma = 3.000000e-10 
EER = 0.994367 for C = 1.000000e+00, gamma = 5.000000e-10 
EER = 0.044847 for C = 1.000000e+00, gamma = 7.000000e-10 
EER = 0.044847 for C = 1.000000e+00, gamma = 9.000000e-10 
EER = 0.044847 for C = 1.000000e+00, gamma = 1.000000e-11 
EER = 0.955233 for C = 1.000000e+00, gamma = 3.000000e-11 
EER = 1.000000 for C = 1.000000e+00, gamma = 5.000000e-11 
EER = 0.044847 for C = 1.000000e+00, gamma = 7.000000e-11 
EER = 0.955233 for C = 1.000000e+00, gamma = 9.000000e-11 
EER = 0.398755 for C = 3.000000e+00, gamma = 1.000000e-06 
EER = 0.320486 for C = 3.000000e+00, gamma = 3.000000e-06 
EER = 0.247274 for C = 3.000000e+00, gamma = 5.000000e-06 
EER = 0.200668 for C = 3.000000e+00, gamma = 7.000000e-06 
EER = 0.179069 for C = 3.000000e+00, gamma = 9.000000e-06 
EER = 0.111770 for C = 3.000000e+00, gamma = 1.000000e-07 
EER = 0.270489 for C = 3.000000e+00, gamma = 3.000000e-07 
EER = 0.336265 for C = 3.000000e+00, gamma = 5.000000e-07 
EER = 0.369152 for C = 3.000000e+00, gamma = 7.000000e-07 
EER = 0.392895 for C = 3.000000e+00, gamma = 9.000000e-07 
EER = 0.029944 for C = 3.000000e+00, gamma = 1.000000e-08 
EER = 0.038516 for C = 3.000000e+00, gamma = 3.000000e-08 
EER = 0.054168 for C = 3.000000e+00, gamma = 5.000000e-08 
EER = 0.078438 for C = 3.000000e+00, gamma = 7.000000e-08 
EER = 0.091610 for C = 3.000000e+00, gamma = 9.000000e-08 
EER = 0.044847 for C = 3.000000e+00, gamma = 1.000000e-09 
EER = 0.038245 for C = 3.000000e+00, gamma = 3.000000e-09 
EER = 0.034295 for C = 3.000000e+00, gamma = 5.000000e-09 
EER = 0.030833 for C = 3.000000e+00, gamma = 7.000000e-09 
EER = 0.029351 for C = 3.000000e+00, gamma = 9.000000e-09 <- New Best
EER = 1.000000 for C = 3.000000e+00, gamma = 1.000000e-10 
EER = 0.044847 for C = 3.000000e+00, gamma = 3.000000e-10 
EER = 0.044847 for C = 3.000000e+00, gamma = 5.000000e-10 
