EER = 0.057219 for C = 1.000000e+00, gamma = 1.000000e-06 <- New Best
EER = 0.042099 for C = 1.000000e+00, gamma = 3.000000e-06 <- New Best
EER = 0.107619 for C = 1.000000e+00, gamma = 5.000000e-06 
EER = 0.142307 for C = 1.000000e+00, gamma = 7.000000e-06 
EER = 0.162170 for C = 1.000000e+00, gamma = 9.000000e-06 
EER = 0.016899 for C = 1.000000e+00, gamma = 1.000000e-07 <- New Best
EER = 0.038541 for C = 1.000000e+00, gamma = 3.000000e-07 
EER = 0.049807 for C = 1.000000e+00, gamma = 5.000000e-07 
EER = 0.055737 for C = 1.000000e+00, gamma = 7.000000e-07 
EER = 0.059294 for C = 1.000000e+00, gamma = 9.000000e-07 
EER = 0.009784 for C = 1.000000e+00, gamma = 1.000000e-08 <- New Best
EER = 0.010969 for C = 1.000000e+00, gamma = 3.000000e-08 
EER = 0.011562 for C = 1.000000e+00, gamma = 5.000000e-08 
EER = 0.013934 for C = 1.000000e+00, gamma = 7.000000e-08 
EER = 0.015713 for C = 1.000000e+00, gamma = 9.000000e-08 
EER = 0.010969 for C = 1.000000e+00, gamma = 1.000000e-09 
EER = 0.010969 for C = 1.000000e+00, gamma = 3.000000e-09 
EER = 0.010969 for C = 1.000000e+00, gamma = 5.000000e-09 
EER = 0.010969 for C = 1.000000e+00, gamma = 7.000000e-09 
EER = 0.010969 for C = 1.000000e+00, gamma = 9.000000e-09 
EER = 0.010969 for C = 1.000000e+00, gamma = 1.000000e-10 
EER = 0.000000 for C = 1.000000e+00, gamma = 3.000000e-10 
EER = 0.000000 for C = 1.000000e+00, gamma = 5.000000e-10 
EER = 0.010969 for C = 1.000000e+00, gamma = 7.000000e-10 
EER = 0.010969 for C = 1.000000e+00, gamma = 9.000000e-10 
EER = 0.010673 for C = 1.000000e+00, gamma = 1.000000e-11 
EER = 0.010969 for C = 1.000000e+00, gamma = 3.000000e-11 
EER = 0.000000 for C = 1.000000e+00, gamma = 5.000000e-11 
EER = 0.010969 for C = 1.000000e+00, gamma = 7.000000e-11 
EER = 0.010969 for C = 1.000000e+00, gamma = 9.000000e-11 
EER = 0.056330 for C = 3.000000e+00, gamma = 1.000000e-06 
EER = 0.071450 for C = 3.000000e+00, gamma = 3.000000e-06 
EER = 0.140231 for C = 3.000000e+00, gamma = 5.000000e-06 
EER = 0.165728 for C = 3.000000e+00, gamma = 7.000000e-06 
EER = 0.199822 for C = 3.000000e+00, gamma = 9.000000e-06 
EER = 0.037948 for C = 3.000000e+00, gamma = 1.000000e-07 
EER = 0.062556 for C = 3.000000e+00, gamma = 3.000000e-07 
EER = 0.066113 for C = 3.000000e+00, gamma = 5.000000e-07 
EER = 0.060480 for C = 3.000000e+00, gamma = 7.000000e-07 
EER = 0.057812 for C = 3.000000e+00, gamma = 9.000000e-07 
EER = 0.010969 for C = 3.000000e+00, gamma = 1.000000e-08 
EER = 0.015713 for C = 3.000000e+00, gamma = 3.000000e-08 
EER = 0.021346 for C = 3.000000e+00, gamma = 5.000000e-08 
EER = 0.028461 for C = 3.000000e+00, gamma = 7.000000e-08 
EER = 0.035280 for C = 3.000000e+00, gamma = 9.000000e-08 
EER = 0.010969 for C = 3.000000e+00, gamma = 1.000000e-09 
EER = 0.010673 for C = 3.000000e+00, gamma = 3.000000e-09 
EER = 0.009191 for C = 3.000000e+00, gamma = 5.000000e-09 <- New Best
EER = 0.009784 for C = 3.000000e+00, gamma = 7.000000e-09 
EER = 0.010377 for C = 3.000000e+00, gamma = 9.000000e-09 
EER = 0.000000 for C = 3.000000e+00, gamma = 1.000000e-10 
EER = 1.000000 for C = 3.000000e+00, gamma = 3.000000e-10 
EER = 0.010969 for C = 3.000000e+00, gamma = 5.000000e-10 
EER = 0.010969 for C = 3.000000e+00, gamma = 7.000000e-10 
EER = 0.010969 for C = 3.000000e+00, gamma = 9.000000e-10 
EER = 0.000000 for C = 3.000000e+00, gamma = 1.000000e-11 
EER = 0.000000 for C = 3.000000e+00, gamma = 3.000000e-11 
EER = 0.010969 for C = 3.000000e+00, gamma = 5.000000e-11 
EER = 0.010969 for C = 3.000000e+00, gamma = 7.000000e-11 
EER = 0.000000 for C = 3.000000e+00, gamma = 9.000000e-11 
EER = 0.052476 for C = 5.000000e+00, gamma = 1.000000e-06 
EER = 0.106137 for C = 5.000000e+00, gamma = 3.000000e-06 
EER = 0.145864 for C = 5.000000e+00, gamma = 5.000000e-06 
EER = 0.195079 for C = 5.000000e+00, gamma = 7.000000e-06 
EER = 0.252891 for C = 5.000000e+00, gamma = 9.000000e-06 
EER = 0.051883 for C = 5.000000e+00, gamma = 1.000000e-07 
EER = 0.069671 for C = 5.000000e+00, gamma = 3.000000e-07 
EER = 0.064334 for C = 5.000000e+00, gamma = 5.000000e-07 
EER = 0.059591 for C = 5.000000e+00, gamma = 7.000000e-07 
EER = 0.054847 for C = 5.000000e+00, gamma = 9.000000e-07 
EER = 0.011859 for C = 5.000000e+00, gamma = 1.000000e-08 
EER = 0.021642 for C = 5.000000e+00, gamma = 3.000000e-08 
EER = 0.033798 for C = 5.000000e+00, gamma = 5.000000e-08 
EER = 0.042988 for C = 5.000000e+00, gamma = 7.000000e-08 
EER = 0.049807 for C = 5.000000e+00, gamma = 9.000000e-08 
EER = 0.010969 for C = 5.000000e+00, gamma = 1.000000e-09 
EER = 0.009191 for C = 5.000000e+00, gamma = 3.000000e-09 
EER = 0.010673 for C = 5.000000e+00, gamma = 5.000000e-09 
EER = 0.010969 for C = 5.000000e+00, gamma = 7.000000e-09 
EER = 0.011859 for C = 5.000000e+00, gamma = 9.000000e-09 
EER = 0.000000 for C = 5.000000e+00, gamma = 1.000000e-10 
EER = 0.010969 for C = 5.000000e+00, gamma = 3.000000e-10 
EER = 0.010969 for C = 5.000000e+00, gamma = 5.000000e-10 
EER = 0.010969 for C = 5.000000e+00, gamma = 7.000000e-10 
EER = 0.010969 for C = 5.000000e+00, gamma = 9.000000e-10 
EER = 0.010673 for C = 5.000000e+00, gamma = 1.000000e-11 
EER = 0.010969 for C = 5.000000e+00, gamma = 3.000000e-11 
EER = 0.010969 for C = 5.000000e+00, gamma = 5.000000e-11 
EER = 0.010969 for C = 5.000000e+00, gamma = 7.000000e-11 
EER = 0.010969 for C = 5.000000e+00, gamma = 9.000000e-11 
EER = 0.052179 for C = 7.000000e+00, gamma = 1.000000e-06 
EER = 0.106730 for C = 7.000000e+00, gamma = 3.000000e-06 
EER = 0.157723 for C = 7.000000e+00, gamma = 5.000000e-06 
EER = 0.252001 for C = 7.000000e+00, gamma = 7.000000e-06 
EER = 0.266528 for C = 7.000000e+00, gamma = 9.000000e-06 
EER = 0.059591 for C = 7.000000e+00, gamma = 1.000000e-07 
EER = 0.069374 for C = 7.000000e+00, gamma = 3.000000e-07 
EER = 0.066113 for C = 7.000000e+00, gamma = 5.000000e-07 
EER = 0.057219 for C = 7.000000e+00, gamma = 7.000000e-07 
EER = 0.054254 for C = 7.000000e+00, gamma = 9.000000e-07 
EER = 0.013638 for C = 7.000000e+00, gamma = 1.000000e-08 
EER = 0.029351 for C = 7.000000e+00, gamma = 3.000000e-08 
EER = 0.042988 for C = 7.000000e+00, gamma = 5.000000e-08 
EER = 0.051883 for C = 7.000000e+00, gamma = 7.000000e-08 
EER = 0.057812 for C = 7.000000e+00, gamma = 9.000000e-08 
EER = 0.010969 for C = 7.000000e+00, gamma = 1.000000e-09 
EER = 0.009784 for C = 7.000000e+00, gamma = 3.000000e-09 
EER = 0.010969 for C = 7.000000e+00, gamma = 5.000000e-09 
EER = 0.011859 for C = 7.000000e+00, gamma = 7.000000e-09 
EER = 0.013341 for C = 7.000000e+00, gamma = 9.000000e-09 
EER = 0.998814 for C = 7.000000e+00, gamma = 1.000000e-10 
EER = 0.010969 for C = 7.000000e+00, gamma = 3.000000e-10 
EER = 0.010969 for C = 7.000000e+00, gamma = 5.000000e-10 
EER = 0.010969 for C = 7.000000e+00, gamma = 7.000000e-10 
EER = 0.010969 for C = 7.000000e+00, gamma = 9.000000e-10 
EER = 0.010673 for C = 7.000000e+00, gamma = 1.000000e-11 
EER = 0.000000 for C = 7.000000e+00, gamma = 3.000000e-11 
EER = 0.010969 for C = 7.000000e+00, gamma = 5.000000e-11 
EER = 0.010969 for C = 7.000000e+00, gamma = 7.000000e-11 
EER = 0.010969 for C = 7.000000e+00, gamma = 9.000000e-11 
EER = 0.055144 for C = 9.000000e+00, gamma = 1.000000e-06 
EER = 0.097836 for C = 9.000000e+00, gamma = 3.000000e-06 
EER = 0.189149 for C = 9.000000e+00, gamma = 5.000000e-06 
EER = 0.266825 for C = 9.000000e+00, gamma = 7.000000e-06 
EER = 0.272161 for C = 9.000000e+00, gamma = 9.000000e-06 
EER = 0.067299 for C = 9.000000e+00, gamma = 1.000000e-07 
EER = 0.067299 for C = 9.000000e+00, gamma = 3.000000e-07 
EER = 0.065520 for C = 9.000000e+00, gamma = 5.000000e-07 
EER = 0.059591 for C = 9.000000e+00, gamma = 7.000000e-07 
EER = 0.054551 for C = 9.000000e+00, gamma = 9.000000e-07 
EER = 0.015713 for C = 9.000000e+00, gamma = 1.000000e-08 
EER = 0.035280 for C = 9.000000e+00, gamma = 3.000000e-08 
EER = 0.049214 for C = 9.000000e+00, gamma = 5.000000e-08 
EER = 0.057516 for C = 9.000000e+00, gamma = 7.000000e-08 
EER = 0.063149 for C = 9.000000e+00, gamma = 9.000000e-08 
EER = 0.010673 for C = 9.000000e+00, gamma = 1.000000e-09 
EER = 0.010377 for C = 9.000000e+00, gamma = 3.000000e-09 
EER = 0.011859 for C = 9.000000e+00, gamma = 5.000000e-09 
EER = 0.013341 for C = 9.000000e+00, gamma = 7.000000e-09 
EER = 0.014527 for C = 9.000000e+00, gamma = 9.000000e-09 
EER = 0.010969 for C = 9.000000e+00, gamma = 1.000000e-10 
EER = 0.010969 for C = 9.000000e+00, gamma = 3.000000e-10 
EER = 0.010969 for C = 9.000000e+00, gamma = 5.000000e-10 
EER = 0.010969 for C = 9.000000e+00, gamma = 7.000000e-10 
EER = 0.010969 for C = 9.000000e+00, gamma = 9.000000e-10 
EER = 0.010673 for C = 9.000000e+00, gamma = 1.000000e-11 
EER = 0.000000 for C = 9.000000e+00, gamma = 3.000000e-11 
EER = 0.010969 for C = 9.000000e+00, gamma = 5.000000e-11 
EER = 0.010969 for C = 9.000000e+00, gamma = 7.000000e-11 
EER = 1.000000 for C = 9.000000e+00, gamma = 9.000000e-11 
EER = 0.055440 for C = 1.000000e+01, gamma = 1.000000e-06 
EER = 0.094575 for C = 1.000000e+01, gamma = 3.000000e-06 
EER = 0.208123 for C = 1.000000e+01, gamma = 5.000000e-06 
EER = 0.270679 for C = 1.000000e+01, gamma = 7.000000e-06 
EER = 0.275719 for C = 1.000000e+01, gamma = 9.000000e-06 
EER = 0.068189 for C = 1.000000e+01, gamma = 1.000000e-07 
EER = 0.069374 for C = 1.000000e+01, gamma = 3.000000e-07 
EER = 0.064927 for C = 1.000000e+01, gamma = 5.000000e-07 
EER = 0.058109 for C = 1.000000e+01, gamma = 7.000000e-07 
EER = 0.056033 for C = 1.000000e+01, gamma = 9.000000e-07 
EER = 0.016899 for C = 1.000000e+01, gamma = 1.000000e-08 
EER = 0.038541 for C = 1.000000e+01, gamma = 3.000000e-08 
EER = 0.052772 for C = 1.000000e+01, gamma = 5.000000e-08 
EER = 0.059294 for C = 1.000000e+01, gamma = 7.000000e-08 
EER = 0.067596 for C = 1.000000e+01, gamma = 9.000000e-08 
EER = 0.009784 for C = 1.000000e+01, gamma = 1.000000e-09 
EER = 0.010969 for C = 1.000000e+01, gamma = 3.000000e-09 
EER = 0.011562 for C = 1.000000e+01, gamma = 5.000000e-09 
EER = 0.013638 for C = 1.000000e+01, gamma = 7.000000e-09 
EER = 0.015713 for C = 1.000000e+01, gamma = 9.000000e-09 
EER = 0.010969 for C = 1.000000e+01, gamma = 1.000000e-10 
EER = 0.010969 for C = 1.000000e+01, gamma = 3.000000e-10 
EER = 0.010969 for C = 1.000000e+01, gamma = 5.000000e-10 
EER = 0.010969 for C = 1.000000e+01, gamma = 7.000000e-10 
EER = 0.010673 for C = 1.000000e+01, gamma = 9.000000e-10 
EER = 0.010673 for C = 1.000000e+01, gamma = 1.000000e-11 
EER = 0.010969 for C = 1.000000e+01, gamma = 3.000000e-11 
EER = 0.010969 for C = 1.000000e+01, gamma = 5.000000e-11 
EER = 0.010969 for C = 1.000000e+01, gamma = 7.000000e-11 
EER = 0.010969 for C = 1.000000e+01, gamma = 9.000000e-11 
EER = 0.059294 for C = 3.000000e+01, gamma = 1.000000e-06 
EER = 0.238067 for C = 3.000000e+01, gamma = 3.000000e-06 
EER = 0.278684 for C = 3.000000e+01, gamma = 5.000000e-06 
EER = 0.283131 for C = 3.000000e+01, gamma = 7.000000e-06 
EER = 0.278091 for C = 3.000000e+01, gamma = 9.000000e-06 
EER = 0.075007 for C = 3.000000e+01, gamma = 1.000000e-07 
EER = 0.072043 for C = 3.000000e+01, gamma = 3.000000e-07 
EER = 0.063149 for C = 3.000000e+01, gamma = 5.000000e-07 
EER = 0.061370 for C = 3.000000e+01, gamma = 7.000000e-07 
EER = 0.057516 for C = 3.000000e+01, gamma = 9.000000e-07 
EER = 0.038838 for C = 3.000000e+01, gamma = 1.000000e-08 
EER = 0.069078 for C = 3.000000e+01, gamma = 3.000000e-08 
EER = 0.073525 for C = 3.000000e+01, gamma = 5.000000e-08 
EER = 0.072636 for C = 3.000000e+01, gamma = 7.000000e-08 
EER = 0.074711 for C = 3.000000e+01, gamma = 9.000000e-08 
EER = 0.010969 for C = 3.000000e+01, gamma = 1.000000e-09 
EER = 0.015713 for C = 3.000000e+01, gamma = 3.000000e-09 
EER = 0.021939 for C = 3.000000e+01, gamma = 5.000000e-09 
EER = 0.029054 for C = 3.000000e+01, gamma = 7.000000e-09 
EER = 0.035280 for C = 3.000000e+01, gamma = 9.000000e-09 
EER = 0.010969 for C = 3.000000e+01, gamma = 1.000000e-10 
EER = 0.010673 for C = 3.000000e+01, gamma = 3.000000e-10 
EER = 0.009191 for C = 3.000000e+01, gamma = 5.000000e-10 
EER = 0.009784 for C = 3.000000e+01, gamma = 7.000000e-10 
EER = 0.010377 for C = 3.000000e+01, gamma = 9.000000e-10 
EER = 0.010673 for C = 3.000000e+01, gamma = 1.000000e-11 
EER = 0.989031 for C = 3.000000e+01, gamma = 3.000000e-11 
EER = 0.010969 for C = 3.000000e+01, gamma = 5.000000e-11 
EER = 0.010969 for C = 3.000000e+01, gamma = 7.000000e-11 
EER = 0.010969 for C = 3.000000e+01, gamma = 9.000000e-11 
EER = 0.064334 for C = 5.000000e+01, gamma = 1.000000e-06 
EER = 0.276608 for C = 5.000000e+01, gamma = 3.000000e-06 
EER = 0.284317 for C = 5.000000e+01, gamma = 5.000000e-06 
EER = 0.275126 for C = 5.000000e+01, gamma = 7.000000e-06 
EER = 0.270975 for C = 5.000000e+01, gamma = 9.000000e-06 
EER = 0.080344 for C = 5.000000e+01, gamma = 1.000000e-07 
EER = 0.070264 for C = 5.000000e+01, gamma = 3.000000e-07 
EER = 0.064038 for C = 5.000000e+01, gamma = 5.000000e-07 
EER = 0.062556 for C = 5.000000e+01, gamma = 7.000000e-07 
EER = 0.063445 for C = 5.000000e+01, gamma = 9.000000e-07 
EER = 0.052772 for C = 5.000000e+01, gamma = 1.000000e-08 
EER = 0.074118 for C = 5.000000e+01, gamma = 3.000000e-08 
EER = 0.076490 for C = 5.000000e+01, gamma = 5.000000e-08 
EER = 0.079751 for C = 5.000000e+01, gamma = 7.000000e-08 
EER = 0.078565 for C = 5.000000e+01, gamma = 9.000000e-08 
EER = 0.011562 for C = 5.000000e+01, gamma = 1.000000e-09 
EER = 0.021939 for C = 5.000000e+01, gamma = 3.000000e-09 
EER = 0.033798 for C = 5.000000e+01, gamma = 5.000000e-09 
EER = 0.042692 for C = 5.000000e+01, gamma = 7.000000e-09 
EER = 0.049511 for C = 5.000000e+01, gamma = 9.000000e-09 
EER = 0.010969 for C = 5.000000e+01, gamma = 1.000000e-10 
EER = 0.009191 for C = 5.000000e+01, gamma = 3.000000e-10 
EER = 0.010673 for C = 5.000000e+01, gamma = 5.000000e-10 
EER = 0.010969 for C = 5.000000e+01, gamma = 7.000000e-10 
EER = 0.011859 for C = 5.000000e+01, gamma = 9.000000e-10 
EER = 0.010673 for C = 5.000000e+01, gamma = 1.000000e-11 
EER = 0.010969 for C = 5.000000e+01, gamma = 3.000000e-11 
EER = 0.010969 for C = 5.000000e+01, gamma = 5.000000e-11 
EER = 0.010969 for C = 5.000000e+01, gamma = 7.000000e-11 
EER = 0.010969 for C = 5.000000e+01, gamma = 9.000000e-11 
EER = 0.061073 for C = 7.000000e+01, gamma = 1.000000e-06 
EER = 0.276608 for C = 7.000000e+01, gamma = 3.000000e-06 
EER = 0.278980 for C = 7.000000e+01, gamma = 5.000000e-06 
EER = 0.268307 for C = 7.000000e+01, gamma = 7.000000e-06 
EER = 0.270086 for C = 7.000000e+01, gamma = 9.000000e-06 
EER = 0.082419 for C = 7.000000e+01, gamma = 1.000000e-07 
EER = 0.071450 for C = 7.000000e+01, gamma = 3.000000e-07 
EER = 0.070857 for C = 7.000000e+01, gamma = 5.000000e-07 
EER = 0.064631 for C = 7.000000e+01, gamma = 7.000000e-07 
EER = 0.062556 for C = 7.000000e+01, gamma = 9.000000e-07 
EER = 0.061370 for C = 7.000000e+01, gamma = 1.000000e-08 
EER = 0.073822 for C = 7.000000e+01, gamma = 3.000000e-08 
EER = 0.080047 for C = 7.000000e+01, gamma = 5.000000e-08 
EER = 0.081826 for C = 7.000000e+01, gamma = 7.000000e-08 
EER = 0.083902 for C = 7.000000e+01, gamma = 9.000000e-08 
EER = 0.013638 for C = 7.000000e+01, gamma = 1.000000e-09 
EER = 0.029054 for C = 7.000000e+01, gamma = 3.000000e-09 
EER = 0.042692 for C = 7.000000e+01, gamma = 5.000000e-09 
EER = 0.051883 for C = 7.000000e+01, gamma = 7.000000e-09 
EER = 0.058701 for C = 7.000000e+01, gamma = 9.000000e-09 
EER = 0.010969 for C = 7.000000e+01, gamma = 1.000000e-10 
EER = 0.009784 for C = 7.000000e+01, gamma = 3.000000e-10 
EER = 0.010969 for C = 7.000000e+01, gamma = 5.000000e-10 
EER = 0.011859 for C = 7.000000e+01, gamma = 7.000000e-10 
EER = 0.013341 for C = 7.000000e+01, gamma = 9.000000e-10 
EER = 0.989327 for C = 7.000000e+01, gamma = 1.000000e-11 
EER = 0.010969 for C = 7.000000e+01, gamma = 3.000000e-11 
EER = 0.010969 for C = 7.000000e+01, gamma = 5.000000e-11 
EER = 0.010969 for C = 7.000000e+01, gamma = 7.000000e-11 
EER = 0.010969 for C = 7.000000e+01, gamma = 9.000000e-11 
EER = 0.072636 for C = 9.000000e+01, gamma = 1.000000e-06 
EER = 0.279277 for C = 9.000000e+01, gamma = 3.000000e-06 
EER = 0.275719 for C = 9.000000e+01, gamma = 5.000000e-06 
EER = 0.267121 for C = 9.000000e+01, gamma = 7.000000e-06 
EER = 0.270086 for C = 9.000000e+01, gamma = 9.000000e-06 
EER = 0.083309 for C = 9.000000e+01, gamma = 1.000000e-07 
EER = 0.071746 for C = 9.000000e+01, gamma = 3.000000e-07 
EER = 0.072043 for C = 9.000000e+01, gamma = 5.000000e-07 
EER = 0.067596 for C = 9.000000e+01, gamma = 7.000000e-07 
EER = 0.064631 for C = 9.000000e+01, gamma = 9.000000e-07 
EER = 0.068485 for C = 9.000000e+01, gamma = 1.000000e-08 
EER = 0.078862 for C = 9.000000e+01, gamma = 3.000000e-08 
EER = 0.079158 for C = 9.000000e+01, gamma = 5.000000e-08 
EER = 0.084791 for C = 9.000000e+01, gamma = 7.000000e-08 
EER = 0.082716 for C = 9.000000e+01, gamma = 9.000000e-08 
EER = 0.015713 for C = 9.000000e+01, gamma = 1.000000e-09 
EER = 0.035280 for C = 9.000000e+01, gamma = 3.000000e-09 
EER = 0.049511 for C = 9.000000e+01, gamma = 5.000000e-09 
EER = 0.058701 for C = 9.000000e+01, gamma = 7.000000e-09 
EER = 0.065817 for C = 9.000000e+01, gamma = 9.000000e-09 
EER = 0.010673 for C = 9.000000e+01, gamma = 1.000000e-10 
EER = 0.010673 for C = 9.000000e+01, gamma = 3.000000e-10 
EER = 0.011859 for C = 9.000000e+01, gamma = 5.000000e-10 
EER = 0.013341 for C = 9.000000e+01, gamma = 7.000000e-10 
EER = 0.014527 for C = 9.000000e+01, gamma = 9.000000e-10 
EER = 0.010673 for C = 9.000000e+01, gamma = 1.000000e-11 
EER = 0.010969 for C = 9.000000e+01, gamma = 3.000000e-11 
EER = 0.010969 for C = 9.000000e+01, gamma = 5.000000e-11 
EER = 0.010969 for C = 9.000000e+01, gamma = 7.000000e-11 
EER = 0.010969 for C = 9.000000e+01, gamma = 9.000000e-11 
EER = 0.078862 for C = 1.000000e+02, gamma = 1.000000e-06 
EER = 0.278980 for C = 1.000000e+02, gamma = 3.000000e-06 
EER = 0.273051 for C = 1.000000e+02, gamma = 5.000000e-06 
EER = 0.267121 for C = 1.000000e+02, gamma = 7.000000e-06 
EER = 0.270086 for C = 1.000000e+02, gamma = 9.000000e-06 
EER = 0.085087 for C = 1.000000e+02, gamma = 1.000000e-07 
EER = 0.070560 for C = 1.000000e+02, gamma = 3.000000e-07 
EER = 0.072636 for C = 1.000000e+02, gamma = 5.000000e-07 
EER = 0.065520 for C = 1.000000e+02, gamma = 7.000000e-07 
EER = 0.066706 for C = 1.000000e+02, gamma = 9.000000e-07 
EER = 0.071153 for C = 1.000000e+02, gamma = 1.000000e-08 
EER = 0.079751 for C = 1.000000e+02, gamma = 3.000000e-08 
EER = 0.082716 for C = 1.000000e+02, gamma = 5.000000e-08 
EER = 0.085384 for C = 1.000000e+02, gamma = 7.000000e-08 
EER = 0.083605 for C = 1.000000e+02, gamma = 9.000000e-08 
EER = 0.017195 for C = 1.000000e+02, gamma = 1.000000e-09 
EER = 0.038838 for C = 1.000000e+02, gamma = 3.000000e-09 
EER = 0.052772 for C = 1.000000e+02, gamma = 5.000000e-09 
EER = 0.061666 for C = 1.000000e+02, gamma = 7.000000e-09 
EER = 0.068485 for C = 1.000000e+02, gamma = 9.000000e-09 
EER = 0.009784 for C = 1.000000e+02, gamma = 1.000000e-10 
EER = 0.010969 for C = 1.000000e+02, gamma = 3.000000e-10 
EER = 0.011562 for C = 1.000000e+02, gamma = 5.000000e-10 
EER = 0.013638 for C = 1.000000e+02, gamma = 7.000000e-10 
EER = 0.015713 for C = 1.000000e+02, gamma = 9.000000e-10 
EER = 0.010673 for C = 1.000000e+02, gamma = 1.000000e-11 
EER = 0.010969 for C = 1.000000e+02, gamma = 3.000000e-11 
EER = 0.010969 for C = 1.000000e+02, gamma = 5.000000e-11 
EER = 0.010969 for C = 1.000000e+02, gamma = 7.000000e-11 
EER = 0.010673 for C = 1.000000e+02, gamma = 9.000000e-11 
EER = 0.207530 for C = 3.000000e+02, gamma = 1.000000e-06 
EER = 0.266528 for C = 3.000000e+02, gamma = 3.000000e-06 
EER = 0.260895 for C = 3.000000e+02, gamma = 5.000000e-06 
EER = 0.267121 for C = 3.000000e+02, gamma = 7.000000e-06 
EER = 0.270086 for C = 3.000000e+02, gamma = 9.000000e-06 
EER = 0.081826 for C = 3.000000e+02, gamma = 1.000000e-07 
EER = 0.079454 for C = 3.000000e+02, gamma = 3.000000e-07 
EER = 0.078565 for C = 3.000000e+02, gamma = 5.000000e-07 
EER = 0.113549 for C = 3.000000e+02, gamma = 7.000000e-07 
EER = 0.173140 for C = 3.000000e+02, gamma = 9.000000e-07 
EER = 0.080344 for C = 3.000000e+02, gamma = 1.000000e-08 
EER = 0.087163 for C = 3.000000e+02, gamma = 3.000000e-08 
EER = 0.090127 for C = 3.000000e+02, gamma = 5.000000e-08 
EER = 0.089535 for C = 3.000000e+02, gamma = 7.000000e-08 
EER = 0.084495 for C = 3.000000e+02, gamma = 9.000000e-08 
EER = 0.038838 for C = 3.000000e+02, gamma = 1.000000e-09 
EER = 0.068485 for C = 3.000000e+02, gamma = 3.000000e-09 
EER = 0.074414 for C = 3.000000e+02, gamma = 5.000000e-09 
EER = 0.075304 for C = 3.000000e+02, gamma = 7.000000e-09 
EER = 0.079454 for C = 3.000000e+02, gamma = 9.000000e-09 
EER = 0.010969 for C = 3.000000e+02, gamma = 1.000000e-10 
EER = 0.015713 for C = 3.000000e+02, gamma = 3.000000e-10 
EER = 0.022235 for C = 3.000000e+02, gamma = 5.000000e-10 
EER = 0.029054 for C = 3.000000e+02, gamma = 7.000000e-10 
EER = 0.035280 for C = 3.000000e+02, gamma = 9.000000e-10 
EER = 0.010673 for C = 3.000000e+02, gamma = 1.000000e-11 
EER = 0.010673 for C = 3.000000e+02, gamma = 3.000000e-11 
EER = 0.009191 for C = 3.000000e+02, gamma = 5.000000e-11 
EER = 0.009784 for C = 3.000000e+02, gamma = 7.000000e-11 
EER = 0.010377 for C = 3.000000e+02, gamma = 9.000000e-11 
EER = 0.195968 for C = 5.000000e+02, gamma = 1.000000e-06 
EER = 0.245479 for C = 5.000000e+02, gamma = 3.000000e-06 
EER = 0.260895 for C = 5.000000e+02, gamma = 5.000000e-06 
EER = 0.267121 for C = 5.000000e+02, gamma = 7.000000e-06 
EER = 0.270086 for C = 5.000000e+02, gamma = 9.000000e-06 
EER = 0.086570 for C = 5.000000e+02, gamma = 1.000000e-07 
EER = 0.078565 for C = 5.000000e+02, gamma = 3.000000e-07 
EER = 0.113845 for C = 5.000000e+02, gamma = 5.000000e-07 
EER = 0.170471 for C = 5.000000e+02, gamma = 7.000000e-07 
EER = 0.189149 for C = 5.000000e+02, gamma = 9.000000e-07 
EER = 0.083012 for C = 5.000000e+02, gamma = 1.000000e-08 
EER = 0.094871 for C = 5.000000e+02, gamma = 3.000000e-08 
EER = 0.091906 for C = 5.000000e+02, gamma = 5.000000e-08 
EER = 0.087163 for C = 5.000000e+02, gamma = 7.000000e-08 
EER = 0.084198 for C = 5.000000e+02, gamma = 9.000000e-08 
EER = 0.052772 for C = 5.000000e+02, gamma = 1.000000e-09 
EER = 0.074711 for C = 5.000000e+02, gamma = 3.000000e-09 
EER = 0.079158 for C = 5.000000e+02, gamma = 5.000000e-09 
EER = 0.081530 for C = 5.000000e+02, gamma = 7.000000e-09 
EER = 0.082716 for C = 5.000000e+02, gamma = 9.000000e-09 
EER = 0.011562 for C = 5.000000e+02, gamma = 1.000000e-10 
EER = 0.022235 for C = 5.000000e+02, gamma = 3.000000e-10 
EER = 0.033798 for C = 5.000000e+02, gamma = 5.000000e-10 
EER = 0.042395 for C = 5.000000e+02, gamma = 7.000000e-10 
EER = 0.049807 for C = 5.000000e+02, gamma = 9.000000e-10 
EER = 0.010673 for C = 5.000000e+02, gamma = 1.000000e-11 
EER = 0.009191 for C = 5.000000e+02, gamma = 3.000000e-11 
EER = 0.010673 for C = 5.000000e+02, gamma = 5.000000e-11 
