EER = 0.472873 for C = 1.000000e+00, gamma = 1.000000e-06 <- New Best
EER = 0.534243 for C = 1.000000e+00, gamma = 3.000000e-06 
EER = 0.568633 for C = 1.000000e+00, gamma = 5.000000e-06 
EER = 0.604210 for C = 1.000000e+00, gamma = 7.000000e-06 
EER = 0.635339 for C = 1.000000e+00, gamma = 9.000000e-06 
EER = 0.476430 for C = 1.000000e+00, gamma = 1.000000e-07 
EER = 0.434331 for C = 1.000000e+00, gamma = 3.000000e-07 <- New Best
EER = 0.443522 for C = 1.000000e+00, gamma = 5.000000e-07 
EER = 0.452416 for C = 1.000000e+00, gamma = 7.000000e-07 
EER = 0.475541 for C = 1.000000e+00, gamma = 9.000000e-07 
EER = 0.506078 for C = 1.000000e+00, gamma = 1.000000e-08 
EER = 0.519122 for C = 1.000000e+00, gamma = 3.000000e-08 
EER = 0.514379 for C = 1.000000e+00, gamma = 5.000000e-08 
EER = 0.495108 for C = 1.000000e+00, gamma = 7.000000e-08 
EER = 0.482063 for C = 1.000000e+00, gamma = 9.000000e-08 
EER = 0.522977 for C = 1.000000e+00, gamma = 1.000000e-09 
EER = 0.497480 for C = 1.000000e+00, gamma = 3.000000e-09 
EER = 0.496591 for C = 1.000000e+00, gamma = 5.000000e-09 
EER = 0.499555 for C = 1.000000e+00, gamma = 7.000000e-09 
EER = 0.501334 for C = 1.000000e+00, gamma = 9.000000e-09 
EER = 0.530388 for C = 1.000000e+00, gamma = 1.000000e-10 
EER = 0.530388 for C = 1.000000e+00, gamma = 3.000000e-10 
EER = 0.530092 for C = 1.000000e+00, gamma = 5.000000e-10 
EER = 0.529499 for C = 1.000000e+00, gamma = 7.000000e-10 
EER = 0.524162 for C = 1.000000e+00, gamma = 9.000000e-10 
EER = 0.530388 for C = 1.000000e+00, gamma = 1.000000e-11 
EER = 0.000000 for C = 1.000000e+00, gamma = 3.000000e-11 
EER = 0.530388 for C = 1.000000e+00, gamma = 5.000000e-11 
EER = 0.530388 for C = 1.000000e+00, gamma = 7.000000e-11 
EER = 0.530388 for C = 1.000000e+00, gamma = 9.000000e-11 
EER = 0.355173 for C = 3.000000e+00, gamma = 1.000000e-06 <- New Best
EER = 0.517937 for C = 3.000000e+00, gamma = 3.000000e-06 
EER = 0.563593 for C = 3.000000e+00, gamma = 5.000000e-06 
EER = 0.603024 for C = 3.000000e+00, gamma = 7.000000e-06 
EER = 0.638304 for C = 3.000000e+00, gamma = 9.000000e-06 
EER = 0.394011 for C = 3.000000e+00, gamma = 1.000000e-07 
EER = 0.388971 for C = 3.000000e+00, gamma = 3.000000e-07 
EER = 0.348355 for C = 3.000000e+00, gamma = 5.000000e-07 <- New Best
EER = 0.304180 for C = 3.000000e+00, gamma = 7.000000e-07 <- New Best
EER = 0.332642 for C = 3.000000e+00, gamma = 9.000000e-07 
EER = 0.518826 for C = 3.000000e+00, gamma = 1.000000e-08 
EER = 0.480581 for C = 3.000000e+00, gamma = 3.000000e-08 
EER = 0.453306 for C = 3.000000e+00, gamma = 5.000000e-08 
EER = 0.416543 for C = 3.000000e+00, gamma = 7.000000e-08 
EER = 0.401127 for C = 3.000000e+00, gamma = 9.000000e-08 
EER = 0.497184 for C = 3.000000e+00, gamma = 1.000000e-09 
EER = 0.501334 for C = 3.000000e+00, gamma = 3.000000e-09 
EER = 0.517344 for C = 3.000000e+00, gamma = 5.000000e-09 
EER = 0.522977 for C = 3.000000e+00, gamma = 7.000000e-09 
EER = 0.520605 for C = 3.000000e+00, gamma = 9.000000e-09 
EER = 0.530388 for C = 3.000000e+00, gamma = 1.000000e-10 
EER = 0.524162 for C = 3.000000e+00, gamma = 3.000000e-10 
EER = 0.513489 for C = 3.000000e+00, gamma = 5.000000e-10 
EER = 0.504595 for C = 3.000000e+00, gamma = 7.000000e-10 
EER = 0.500148 for C = 3.000000e+00, gamma = 9.000000e-10 
EER = 0.000000 for C = 3.000000e+00, gamma = 1.000000e-11 
EER = 0.530388 for C = 3.000000e+00, gamma = 3.000000e-11 
