EER = 0.384524 for C = 1.000000e+00, gamma = 1.000000e-06 <- New Best
EER = 0.318707 for C = 1.000000e+00, gamma = 3.000000e-06 <- New Best
EER = 0.253780 for C = 1.000000e+00, gamma = 5.000000e-06 <- New Best
EER = 0.252891 for C = 1.000000e+00, gamma = 7.000000e-06 <- New Best
EER = 0.246961 for C = 1.000000e+00, gamma = 9.000000e-06 <- New Best
EER = 0.260895 for C = 1.000000e+00, gamma = 1.000000e-07 
EER = 0.368811 for C = 1.000000e+00, gamma = 3.000000e-07 
EER = 0.385117 for C = 1.000000e+00, gamma = 5.000000e-07 
EER = 0.387192 for C = 1.000000e+00, gamma = 7.000000e-07 
EER = 0.387785 for C = 1.000000e+00, gamma = 9.000000e-07 
EER = 0.034984 for C = 1.000000e+00, gamma = 1.000000e-08 <- New Best
EER = 0.078269 for C = 1.000000e+00, gamma = 3.000000e-08 
EER = 0.153869 for C = 1.000000e+00, gamma = 5.000000e-08 
EER = 0.207827 for C = 1.000000e+00, gamma = 7.000000e-08 
EER = 0.254076 for C = 1.000000e+00, gamma = 9.000000e-08 
EER = 0.062259 for C = 1.000000e+00, gamma = 1.000000e-09 
EER = 0.031723 for C = 1.000000e+00, gamma = 3.000000e-09 <- New Best
EER = 0.029351 for C = 1.000000e+00, gamma = 5.000000e-09 <- New Best
EER = 0.030537 for C = 1.000000e+00, gamma = 7.000000e-09 
EER = 0.034094 for C = 1.000000e+00, gamma = 9.000000e-09 
EER = 0.067003 for C = 1.000000e+00, gamma = 1.000000e-10 
EER = 0.067003 for C = 1.000000e+00, gamma = 3.000000e-10 
EER = 0.067003 for C = 1.000000e+00, gamma = 5.000000e-10 
EER = 0.067003 for C = 1.000000e+00, gamma = 7.000000e-10 
EER = 0.064927 for C = 1.000000e+00, gamma = 9.000000e-10 
EER = 0.000000 for C = 1.000000e+00, gamma = 1.000000e-11 
EER = 0.067003 for C = 1.000000e+00, gamma = 3.000000e-11 
EER = 0.067003 for C = 1.000000e+00, gamma = 5.000000e-11 
EER = 0.067003 for C = 1.000000e+00, gamma = 7.000000e-11 
EER = 0.067003 for C = 1.000000e+00, gamma = 9.000000e-11 
EER = 0.349244 for C = 3.000000e+00, gamma = 1.000000e-06 
EER = 0.270975 for C = 3.000000e+00, gamma = 3.000000e-06 
EER = 0.215239 for C = 3.000000e+00, gamma = 5.000000e-06 
EER = 0.232434 for C = 3.000000e+00, gamma = 7.000000e-06 
EER = 0.249629 for C = 3.000000e+00, gamma = 9.000000e-06 
EER = 0.270086 for C = 3.000000e+00, gamma = 1.000000e-07 
EER = 0.334420 for C = 3.000000e+00, gamma = 3.000000e-07 
EER = 0.332642 for C = 3.000000e+00, gamma = 5.000000e-07 
EER = 0.339757 for C = 3.000000e+00, gamma = 7.000000e-07 
EER = 0.345686 for C = 3.000000e+00, gamma = 9.000000e-07 
EER = 0.054847 for C = 3.000000e+00, gamma = 1.000000e-08 
