EER = 0.497184 for C = 1.000000e+00, gamma = 1.000000e-06 <- New Best
EER = 0.557664 for C = 1.000000e+00, gamma = 3.000000e-06 
EER = 0.598873 for C = 1.000000e+00, gamma = 5.000000e-06 
EER = 0.655203 for C = 1.000000e+00, gamma = 7.000000e-06 
EER = 0.708865 for C = 1.000000e+00, gamma = 9.000000e-06 
EER = 0.390750 for C = 1.000000e+00, gamma = 1.000000e-07 <- New Best
EER = 0.429884 for C = 1.000000e+00, gamma = 3.000000e-07 
EER = 0.459235 for C = 1.000000e+00, gamma = 5.000000e-07 
EER = 0.477320 for C = 1.000000e+00, gamma = 7.000000e-07 
EER = 0.492143 for C = 1.000000e+00, gamma = 9.000000e-07 
EER = 0.322858 for C = 1.000000e+00, gamma = 1.000000e-08 <- New Best
EER = 0.353691 for C = 1.000000e+00, gamma = 3.000000e-08 
EER = 0.347762 for C = 1.000000e+00, gamma = 5.000000e-08 
EER = 0.371479 for C = 1.000000e+00, gamma = 7.000000e-08 
EER = 0.383635 for C = 1.000000e+00, gamma = 9.000000e-08 
EER = 0.324637 for C = 1.000000e+00, gamma = 1.000000e-09 
EER = 0.278980 for C = 1.000000e+00, gamma = 3.000000e-09 <- New Best
EER = 0.291728 for C = 1.000000e+00, gamma = 5.000000e-09 
EER = 0.302994 for C = 1.000000e+00, gamma = 7.000000e-09 
EER = 0.313964 for C = 1.000000e+00, gamma = 9.000000e-09 
EER = 0.363771 for C = 1.000000e+00, gamma = 1.000000e-10 
EER = 0.360510 for C = 1.000000e+00, gamma = 3.000000e-10 
EER = 0.350726 for C = 1.000000e+00, gamma = 5.000000e-10 
EER = 0.342425 for C = 1.000000e+00, gamma = 7.000000e-10 
EER = 0.329973 for C = 1.000000e+00, gamma = 9.000000e-10 
EER = 0.363475 for C = 1.000000e+00, gamma = 1.000000e-11 
EER = 0.363475 for C = 1.000000e+00, gamma = 3.000000e-11 
EER = 0.363475 for C = 1.000000e+00, gamma = 5.000000e-11 
EER = 0.363475 for C = 1.000000e+00, gamma = 7.000000e-11 
EER = 0.363771 for C = 1.000000e+00, gamma = 9.000000e-11 
EER = 0.511118 for C = 3.000000e+00, gamma = 1.000000e-06 
EER = 0.556181 for C = 3.000000e+00, gamma = 3.000000e-06 
EER = 0.593240 for C = 3.000000e+00, gamma = 5.000000e-06 
EER = 0.645716 for C = 3.000000e+00, gamma = 7.000000e-06 
EER = 0.698784 for C = 3.000000e+00, gamma = 9.000000e-06 
EER = 0.380670 for C = 3.000000e+00, gamma = 1.000000e-07 
EER = 0.441447 for C = 3.000000e+00, gamma = 3.000000e-07 
EER = 0.461607 for C = 3.000000e+00, gamma = 5.000000e-07 
EER = 0.468129 for C = 3.000000e+00, gamma = 7.000000e-07 
EER = 0.501631 for C = 3.000000e+00, gamma = 9.000000e-07 
EER = 0.353691 for C = 3.000000e+00, gamma = 1.000000e-08 
EER = 0.372665 for C = 3.000000e+00, gamma = 3.000000e-08 
EER = 0.384821 for C = 3.000000e+00, gamma = 5.000000e-08 
EER = 0.379188 for C = 3.000000e+00, gamma = 7.000000e-08 
EER = 0.375630 for C = 3.000000e+00, gamma = 9.000000e-08 
EER = 0.278684 for C = 3.000000e+00, gamma = 1.000000e-09 <- New Best
EER = 0.312778 for C = 3.000000e+00, gamma = 3.000000e-09 
EER = 0.342425 for C = 3.000000e+00, gamma = 5.000000e-09 
EER = 0.354284 for C = 3.000000e+00, gamma = 7.000000e-09 
EER = 0.354580 for C = 3.000000e+00, gamma = 9.000000e-09 
EER = 0.360510 for C = 3.000000e+00, gamma = 1.000000e-10 
EER = 0.329677 for C = 3.000000e+00, gamma = 3.000000e-10 
EER = 0.298251 for C = 3.000000e+00, gamma = 5.000000e-10 
EER = 0.290543 for C = 3.000000e+00, gamma = 7.000000e-10 
EER = 0.279573 for C = 3.000000e+00, gamma = 9.000000e-10 
EER = 0.363475 for C = 3.000000e+00, gamma = 1.000000e-11 
EER = 0.363475 for C = 3.000000e+00, gamma = 3.000000e-11 
EER = 0.363475 for C = 3.000000e+00, gamma = 5.000000e-11 
EER = 0.363475 for C = 3.000000e+00, gamma = 7.000000e-11 
EER = 0.362585 for C = 3.000000e+00, gamma = 9.000000e-11 
EER = 0.513786 for C = 5.000000e+00, gamma = 1.000000e-06 
EER = 0.556181 for C = 5.000000e+00, gamma = 3.000000e-06 
EER = 0.593240 for C = 5.000000e+00, gamma = 5.000000e-06 
EER = 0.645716 for C = 5.000000e+00, gamma = 7.000000e-06 
EER = 0.698784 for C = 5.000000e+00, gamma = 9.000000e-06 
EER = 0.377705 for C = 5.000000e+00, gamma = 1.000000e-07 
EER = 0.452416 for C = 5.000000e+00, gamma = 3.000000e-07 
EER = 0.456270 for C = 5.000000e+00, gamma = 5.000000e-07 
EER = 0.483546 for C = 5.000000e+00, gamma = 7.000000e-07 
EER = 0.508449 for C = 5.000000e+00, gamma = 9.000000e-07 
EER = 0.351912 for C = 5.000000e+00, gamma = 1.000000e-08 
EER = 0.381856 for C = 5.000000e+00, gamma = 3.000000e-08 
EER = 0.366439 for C = 5.000000e+00, gamma = 5.000000e-08 
EER = 0.369108 for C = 5.000000e+00, gamma = 7.000000e-08 
EER = 0.371776 for C = 5.000000e+00, gamma = 9.000000e-08 
EER = 0.292025 for C = 5.000000e+00, gamma = 1.000000e-09 
EER = 0.342722 for C = 5.000000e+00, gamma = 3.000000e-09 
EER = 0.356656 for C = 5.000000e+00, gamma = 5.000000e-09 
EER = 0.361399 for C = 5.000000e+00, gamma = 7.000000e-09 
EER = 0.358138 for C = 5.000000e+00, gamma = 9.000000e-09 
EER = 0.350726 for C = 5.000000e+00, gamma = 1.000000e-10 
EER = 0.298251 for C = 5.000000e+00, gamma = 3.000000e-10 
EER = 0.282834 for C = 5.000000e+00, gamma = 5.000000e-10 
EER = 0.282241 for C = 5.000000e+00, gamma = 7.000000e-10 
EER = 0.287281 for C = 5.000000e+00, gamma = 9.000000e-10 
EER = 0.363475 for C = 5.000000e+00, gamma = 1.000000e-11 
EER = 0.363475 for C = 5.000000e+00, gamma = 3.000000e-11 
EER = 0.362882 for C = 5.000000e+00, gamma = 5.000000e-11 
EER = 0.357249 for C = 5.000000e+00, gamma = 7.000000e-11 
EER = 0.353098 for C = 5.000000e+00, gamma = 9.000000e-11 
EER = 0.519715 for C = 7.000000e+00, gamma = 1.000000e-06 
EER = 0.556181 for C = 7.000000e+00, gamma = 3.000000e-06 
EER = 0.593240 for C = 7.000000e+00, gamma = 5.000000e-06 
EER = 0.645716 for C = 7.000000e+00, gamma = 7.000000e-06 
EER = 0.698784 for C = 7.000000e+00, gamma = 9.000000e-06 
EER = 0.378002 for C = 7.000000e+00, gamma = 1.000000e-07 
EER = 0.450934 for C = 7.000000e+00, gamma = 3.000000e-07 
EER = 0.466054 for C = 7.000000e+00, gamma = 5.000000e-07 
EER = 0.489475 for C = 7.000000e+00, gamma = 7.000000e-07 
EER = 0.514675 for C = 7.000000e+00, gamma = 9.000000e-07 
EER = 0.378002 for C = 7.000000e+00, gamma = 1.000000e-08 
EER = 0.366439 for C = 7.000000e+00, gamma = 3.000000e-08 
EER = 0.359621 for C = 7.000000e+00, gamma = 5.000000e-08 
EER = 0.357249 for C = 7.000000e+00, gamma = 7.000000e-08 
EER = 0.375334 for C = 7.000000e+00, gamma = 9.000000e-08 
EER = 0.302698 for C = 7.000000e+00, gamma = 1.000000e-09 
EER = 0.356063 for C = 7.000000e+00, gamma = 3.000000e-09 
EER = 0.361696 for C = 7.000000e+00, gamma = 5.000000e-09 
EER = 0.353098 for C = 7.000000e+00, gamma = 7.000000e-09 
EER = 0.361992 for C = 7.000000e+00, gamma = 9.000000e-09 
EER = 0.342129 for C = 7.000000e+00, gamma = 1.000000e-10 
EER = 0.290543 for C = 7.000000e+00, gamma = 3.000000e-10 
EER = 0.282538 for C = 7.000000e+00, gamma = 5.000000e-10 
EER = 0.290839 for C = 7.000000e+00, gamma = 7.000000e-10 
EER = 0.299437 for C = 7.000000e+00, gamma = 9.000000e-10 
EER = 0.363475 for C = 7.000000e+00, gamma = 1.000000e-11 
EER = 0.363475 for C = 7.000000e+00, gamma = 3.000000e-11 
EER = 0.357249 for C = 7.000000e+00, gamma = 5.000000e-11 
EER = 0.351023 for C = 7.000000e+00, gamma = 7.000000e-11 
EER = 0.344204 for C = 7.000000e+00, gamma = 9.000000e-11 
EER = 0.519715 for C = 9.000000e+00, gamma = 1.000000e-06 
EER = 0.556181 for C = 9.000000e+00, gamma = 3.000000e-06 
EER = 0.593240 for C = 9.000000e+00, gamma = 5.000000e-06 
EER = 0.645716 for C = 9.000000e+00, gamma = 7.000000e-06 
EER = 0.698784 for C = 9.000000e+00, gamma = 9.000000e-06 
EER = 0.389268 for C = 9.000000e+00, gamma = 1.000000e-07 
EER = 0.453306 for C = 9.000000e+00, gamma = 3.000000e-07 
EER = 0.471094 for C = 9.000000e+00, gamma = 5.000000e-07 
EER = 0.495701 for C = 9.000000e+00, gamma = 7.000000e-07 
EER = 0.516158 for C = 9.000000e+00, gamma = 9.000000e-07 
EER = 0.380670 for C = 9.000000e+00, gamma = 1.000000e-08 
EER = 0.360806 for C = 9.000000e+00, gamma = 3.000000e-08 
EER = 0.341239 for C = 9.000000e+00, gamma = 5.000000e-08 
EER = 0.359917 for C = 9.000000e+00, gamma = 7.000000e-08 
EER = 0.371776 for C = 9.000000e+00, gamma = 9.000000e-08 
EER = 0.312185 for C = 9.000000e+00, gamma = 1.000000e-09 
EER = 0.354284 for C = 9.000000e+00, gamma = 3.000000e-09 
EER = 0.358435 for C = 9.000000e+00, gamma = 5.000000e-09 
EER = 0.362289 for C = 9.000000e+00, gamma = 7.000000e-09 
EER = 0.375630 for C = 9.000000e+00, gamma = 9.000000e-09 
EER = 0.329677 for C = 9.000000e+00, gamma = 1.000000e-10 
EER = 0.279573 for C = 9.000000e+00, gamma = 3.000000e-10 
EER = 0.286985 for C = 9.000000e+00, gamma = 5.000000e-10 
EER = 0.299437 for C = 9.000000e+00, gamma = 7.000000e-10 
EER = 0.312778 for C = 9.000000e+00, gamma = 9.000000e-10 
EER = 0.363475 for C = 9.000000e+00, gamma = 1.000000e-11 
EER = 0.362289 for C = 9.000000e+00, gamma = 3.000000e-11 
EER = 0.353098 for C = 9.000000e+00, gamma = 5.000000e-11 
EER = 0.344204 for C = 9.000000e+00, gamma = 7.000000e-11 
EER = 0.335903 for C = 9.000000e+00, gamma = 9.000000e-11 
EER = 0.519715 for C = 1.000000e+01, gamma = 1.000000e-06 
EER = 0.556181 for C = 1.000000e+01, gamma = 3.000000e-06 
EER = 0.593240 for C = 1.000000e+01, gamma = 5.000000e-06 
EER = 0.645716 for C = 1.000000e+01, gamma = 7.000000e-06 
EER = 0.698784 for C = 1.000000e+01, gamma = 9.000000e-06 
EER = 0.396383 for C = 1.000000e+01, gamma = 1.000000e-07 
EER = 0.455084 for C = 1.000000e+01, gamma = 3.000000e-07 
EER = 0.473762 for C = 1.000000e+01, gamma = 5.000000e-07 
EER = 0.498666 for C = 1.000000e+01, gamma = 7.000000e-07 
EER = 0.516158 for C = 1.000000e+01, gamma = 9.000000e-07 
EER = 0.381559 for C = 1.000000e+01, gamma = 1.000000e-08 
EER = 0.359324 for C = 1.000000e+01, gamma = 3.000000e-08 
EER = 0.335606 for C = 1.000000e+01, gamma = 5.000000e-08 
EER = 0.358435 for C = 1.000000e+01, gamma = 7.000000e-08 
EER = 0.380670 for C = 1.000000e+01, gamma = 9.000000e-08 
EER = 0.322858 for C = 1.000000e+01, gamma = 1.000000e-09 
EER = 0.353098 for C = 1.000000e+01, gamma = 3.000000e-09 
EER = 0.352802 for C = 1.000000e+01, gamma = 5.000000e-09 
EER = 0.378595 for C = 1.000000e+01, gamma = 7.000000e-09 
EER = 0.380966 for C = 1.000000e+01, gamma = 9.000000e-09 
EER = 0.324340 for C = 1.000000e+01, gamma = 1.000000e-10 
EER = 0.278684 for C = 1.000000e+01, gamma = 3.000000e-10 
EER = 0.291432 for C = 1.000000e+01, gamma = 5.000000e-10 
EER = 0.302994 for C = 1.000000e+01, gamma = 7.000000e-10 
EER = 0.312185 for C = 1.000000e+01, gamma = 9.000000e-10 
EER = 0.363475 for C = 1.000000e+01, gamma = 1.000000e-11 
EER = 0.360510 for C = 1.000000e+01, gamma = 3.000000e-11 
EER = 0.350430 for C = 1.000000e+01, gamma = 5.000000e-11 
EER = 0.342129 for C = 1.000000e+01, gamma = 7.000000e-11 
EER = 0.329677 for C = 1.000000e+01, gamma = 9.000000e-11 
EER = 0.519715 for C = 3.000000e+01, gamma = 1.000000e-06 
EER = 0.556181 for C = 3.000000e+01, gamma = 3.000000e-06 
EER = 0.593240 for C = 3.000000e+01, gamma = 5.000000e-06 
EER = 0.645716 for C = 3.000000e+01, gamma = 7.000000e-06 
EER = 0.698784 for C = 3.000000e+01, gamma = 9.000000e-06 
EER = 0.443226 for C = 3.000000e+01, gamma = 1.000000e-07 
EER = 0.482360 for C = 3.000000e+01, gamma = 3.000000e-07 
EER = 0.489475 for C = 3.000000e+01, gamma = 5.000000e-07 
EER = 0.503409 for C = 3.000000e+01, gamma = 7.000000e-07 
EER = 0.516158 for C = 3.000000e+01, gamma = 9.000000e-07 
EER = 0.369997 for C = 3.000000e+01, gamma = 1.000000e-08 
EER = 0.320190 for C = 3.000000e+01, gamma = 3.000000e-08 
EER = 0.383338 for C = 3.000000e+01, gamma = 5.000000e-08 
EER = 0.426327 for C = 3.000000e+01, gamma = 7.000000e-08 
EER = 0.446190 for C = 3.000000e+01, gamma = 9.000000e-08 
EER = 0.353691 for C = 3.000000e+01, gamma = 1.000000e-09 
EER = 0.383042 for C = 3.000000e+01, gamma = 3.000000e-09 
EER = 0.388971 for C = 3.000000e+01, gamma = 5.000000e-09 
EER = 0.386599 for C = 3.000000e+01, gamma = 7.000000e-09 
EER = 0.370590 for C = 3.000000e+01, gamma = 9.000000e-09 
EER = 0.278684 for C = 3.000000e+01, gamma = 1.000000e-10 
EER = 0.312185 for C = 3.000000e+01, gamma = 3.000000e-10 
EER = 0.341832 for C = 3.000000e+01, gamma = 5.000000e-10 
EER = 0.356359 for C = 3.000000e+01, gamma = 7.000000e-10 
EER = 0.354284 for C = 3.000000e+01, gamma = 9.000000e-10 
EER = 0.360510 for C = 3.000000e+01, gamma = 1.000000e-11 
EER = 0.329677 for C = 3.000000e+01, gamma = 3.000000e-11 
EER = 0.298251 for C = 3.000000e+01, gamma = 5.000000e-11 
EER = 0.290543 for C = 3.000000e+01, gamma = 7.000000e-11 
EER = 0.279277 for C = 3.000000e+01, gamma = 9.000000e-11 
EER = 0.519715 for C = 5.000000e+01, gamma = 1.000000e-06 
EER = 0.556181 for C = 5.000000e+01, gamma = 3.000000e-06 
EER = 0.593240 for C = 5.000000e+01, gamma = 5.000000e-06 
EER = 0.645716 for C = 5.000000e+01, gamma = 7.000000e-06 
EER = 0.698784 for C = 5.000000e+01, gamma = 9.000000e-06 
EER = 0.424251 for C = 5.000000e+01, gamma = 1.000000e-07 
EER = 0.485918 for C = 5.000000e+01, gamma = 3.000000e-07 
EER = 0.489475 for C = 5.000000e+01, gamma = 5.000000e-07 
EER = 0.503409 for C = 5.000000e+01, gamma = 7.000000e-07 
EER = 0.516158 for C = 5.000000e+01, gamma = 9.000000e-07 
EER = 0.310703 for C = 5.000000e+01, gamma = 1.000000e-08 
EER = 0.347762 for C = 5.000000e+01, gamma = 3.000000e-08 
EER = 0.426327 for C = 5.000000e+01, gamma = 5.000000e-08 
EER = 0.440557 for C = 5.000000e+01, gamma = 7.000000e-08 
EER = 0.420101 for C = 5.000000e+01, gamma = 9.000000e-08 
EER = 0.354877 for C = 5.000000e+01, gamma = 1.000000e-09 
EER = 0.389861 for C = 5.000000e+01, gamma = 3.000000e-09 
EER = 0.375926 for C = 5.000000e+01, gamma = 5.000000e-09 
EER = 0.368218 for C = 5.000000e+01, gamma = 7.000000e-09 
EER = 0.332938 for C = 5.000000e+01, gamma = 9.000000e-09 
EER = 0.291432 for C = 5.000000e+01, gamma = 1.000000e-10 
EER = 0.341832 for C = 5.000000e+01, gamma = 3.000000e-10 
EER = 0.356656 for C = 5.000000e+01, gamma = 5.000000e-10 
EER = 0.361696 for C = 5.000000e+01, gamma = 7.000000e-10 
EER = 0.358435 for C = 5.000000e+01, gamma = 9.000000e-10 
EER = 0.350430 for C = 5.000000e+01, gamma = 1.000000e-11 
EER = 0.298251 for C = 5.000000e+01, gamma = 3.000000e-11 
EER = 0.282834 for C = 5.000000e+01, gamma = 5.000000e-11 
EER = 0.282538 for C = 5.000000e+01, gamma = 7.000000e-11 
EER = 0.286985 for C = 5.000000e+01, gamma = 9.000000e-11 
EER = 0.519715 for C = 7.000000e+01, gamma = 1.000000e-06 
EER = 0.556181 for C = 7.000000e+01, gamma = 3.000000e-06 
EER = 0.593240 for C = 7.000000e+01, gamma = 5.000000e-06 
EER = 0.645716 for C = 7.000000e+01, gamma = 7.000000e-06 
EER = 0.698488 for C = 7.000000e+01, gamma = 9.000000e-06 
EER = 0.447080 for C = 7.000000e+01, gamma = 1.000000e-07 
EER = 0.485918 for C = 7.000000e+01, gamma = 3.000000e-07 
EER = 0.489475 for C = 7.000000e+01, gamma = 5.000000e-07 
EER = 0.503409 for C = 7.000000e+01, gamma = 7.000000e-07 
EER = 0.516158 for C = 7.000000e+01, gamma = 9.000000e-07 
EER = 0.275719 for C = 7.000000e+01, gamma = 1.000000e-08 <- New Best
EER = 0.380374 for C = 7.000000e+01, gamma = 3.000000e-08 
EER = 0.442929 for C = 7.000000e+01, gamma = 5.000000e-08 
EER = 0.419804 for C = 7.000000e+01, gamma = 7.000000e-08 
EER = 0.439075 for C = 7.000000e+01, gamma = 9.000000e-08 
EER = 0.380374 for C = 7.000000e+01, gamma = 1.000000e-09 
EER = 0.391047 for C = 7.000000e+01, gamma = 3.000000e-09 
EER = 0.370294 for C = 7.000000e+01, gamma = 5.000000e-09 
EER = 0.324340 for C = 7.000000e+01, gamma = 7.000000e-09 
EER = 0.277498 for C = 7.000000e+01, gamma = 9.000000e-09 
EER = 0.303291 for C = 7.000000e+01, gamma = 1.000000e-10 
EER = 0.356359 for C = 7.000000e+01, gamma = 3.000000e-10 
EER = 0.361696 for C = 7.000000e+01, gamma = 5.000000e-10 
EER = 0.356359 for C = 7.000000e+01, gamma = 7.000000e-10 
EER = 0.364957 for C = 7.000000e+01, gamma = 9.000000e-10 
EER = 0.342129 for C = 7.000000e+01, gamma = 1.000000e-11 
EER = 0.290543 for C = 7.000000e+01, gamma = 3.000000e-11 
EER = 0.282538 for C = 7.000000e+01, gamma = 5.000000e-11 
EER = 0.290543 for C = 7.000000e+01, gamma = 7.000000e-11 
EER = 0.299437 for C = 7.000000e+01, gamma = 9.000000e-11 
EER = 0.519715 for C = 9.000000e+01, gamma = 1.000000e-06 
EER = 0.556181 for C = 9.000000e+01, gamma = 3.000000e-06 
EER = 0.593240 for C = 9.000000e+01, gamma = 5.000000e-06 
EER = 0.645716 for C = 9.000000e+01, gamma = 7.000000e-06 
EER = 0.698784 for C = 9.000000e+01, gamma = 9.000000e-06 
EER = 0.453306 for C = 9.000000e+01, gamma = 1.000000e-07 
EER = 0.485918 for C = 9.000000e+01, gamma = 3.000000e-07 
EER = 0.489475 for C = 9.000000e+01, gamma = 5.000000e-07 
EER = 0.503409 for C = 9.000000e+01, gamma = 7.000000e-07 
EER = 0.516158 for C = 9.000000e+01, gamma = 9.000000e-07 
EER = 0.270975 for C = 9.000000e+01, gamma = 1.000000e-08 <- New Best
EER = 0.402609 for C = 9.000000e+01, gamma = 3.000000e-08 
EER = 0.431070 for C = 9.000000e+01, gamma = 5.000000e-08 
EER = 0.434628 for C = 9.000000e+01, gamma = 7.000000e-08 
EER = 0.449748 for C = 9.000000e+01, gamma = 9.000000e-08 
EER = 0.383635 for C = 9.000000e+01, gamma = 1.000000e-09 
EER = 0.374444 for C = 9.000000e+01, gamma = 3.000000e-09 
EER = 0.342129 for C = 9.000000e+01, gamma = 5.000000e-09 
EER = 0.281055 for C = 9.000000e+01, gamma = 7.000000e-09 
EER = 0.264157 for C = 9.000000e+01, gamma = 9.000000e-09 <- New Best
EER = 0.311889 for C = 9.000000e+01, gamma = 1.000000e-10 
EER = 0.353988 for C = 9.000000e+01, gamma = 3.000000e-10 
EER = 0.358435 for C = 9.000000e+01, gamma = 5.000000e-10 
EER = 0.364957 for C = 9.000000e+01, gamma = 7.000000e-10 
EER = 0.380374 for C = 9.000000e+01, gamma = 9.000000e-10 
EER = 0.329677 for C = 9.000000e+01, gamma = 1.000000e-11 
EER = 0.279277 for C = 9.000000e+01, gamma = 3.000000e-11 
EER = 0.286985 for C = 9.000000e+01, gamma = 5.000000e-11 
EER = 0.299437 for C = 9.000000e+01, gamma = 7.000000e-11 
EER = 0.312481 for C = 9.000000e+01, gamma = 9.000000e-11 
EER = 0.519715 for C = 1.000000e+02, gamma = 1.000000e-06 
EER = 0.556181 for C = 1.000000e+02, gamma = 3.000000e-06 
EER = 0.593240 for C = 1.000000e+02, gamma = 5.000000e-06 
EER = 0.645716 for C = 1.000000e+02, gamma = 7.000000e-06 
EER = 0.698784 for C = 1.000000e+02, gamma = 9.000000e-06 
EER = 0.455974 for C = 1.000000e+02, gamma = 1.000000e-07 
EER = 0.485918 for C = 1.000000e+02, gamma = 3.000000e-07 
EER = 0.489475 for C = 1.000000e+02, gamma = 5.000000e-07 
EER = 0.503409 for C = 1.000000e+02, gamma = 7.000000e-07 
EER = 0.516158 for C = 1.000000e+02, gamma = 9.000000e-07 
EER = 0.273940 for C = 1.000000e+02, gamma = 1.000000e-08 
EER = 0.410021 for C = 1.000000e+02, gamma = 3.000000e-08 
EER = 0.425437 for C = 1.000000e+02, gamma = 5.000000e-08 
EER = 0.439964 for C = 1.000000e+02, gamma = 7.000000e-08 
EER = 0.452713 for C = 1.000000e+02, gamma = 9.000000e-08 
EER = 0.384524 for C = 1.000000e+02, gamma = 1.000000e-09 
EER = 0.372962 for C = 1.000000e+02, gamma = 3.000000e-09 
EER = 0.324044 for C = 1.000000e+02, gamma = 5.000000e-09 
EER = 0.277201 for C = 1.000000e+02, gamma = 7.000000e-09 
EER = 0.268307 for C = 1.000000e+02, gamma = 9.000000e-09 
EER = 0.322858 for C = 1.000000e+02, gamma = 1.000000e-10 
EER = 0.353691 for C = 1.000000e+02, gamma = 3.000000e-10 
EER = 0.354877 for C = 1.000000e+02, gamma = 5.000000e-10 
EER = 0.380374 for C = 1.000000e+02, gamma = 7.000000e-10 
EER = 0.383635 for C = 1.000000e+02, gamma = 9.000000e-10 
EER = 0.324637 for C = 1.000000e+02, gamma = 1.000000e-11 
EER = 0.278684 for C = 1.000000e+02, gamma = 3.000000e-11 
