EER = 0.065520 for C = 1.000000e+00, gamma = 1.000000e-06 <- New Best
EER = 0.163356 for C = 1.000000e+00, gamma = 3.000000e-06 
EER = 0.219686 for C = 1.000000e+00, gamma = 5.000000e-06 
EER = 0.272458 for C = 1.000000e+00, gamma = 7.000000e-06 
EER = 0.304477 for C = 1.000000e+00, gamma = 9.000000e-06 
EER = 0.025793 for C = 1.000000e+00, gamma = 1.000000e-07 <- New Best
EER = 0.033205 for C = 1.000000e+00, gamma = 3.000000e-07 
EER = 0.038541 for C = 1.000000e+00, gamma = 5.000000e-07 
EER = 0.050697 for C = 1.000000e+00, gamma = 7.000000e-07 
EER = 0.061666 for C = 1.000000e+00, gamma = 9.000000e-07 
EER = 0.105544 for C = 1.000000e+00, gamma = 1.000000e-08 
EER = 0.043878 for C = 1.000000e+00, gamma = 3.000000e-08 
EER = 0.029054 for C = 1.000000e+00, gamma = 5.000000e-08 
EER = 0.027868 for C = 1.000000e+00, gamma = 7.000000e-08 
EER = 0.027275 for C = 1.000000e+00, gamma = 9.000000e-08 
EER = 0.180848 for C = 1.000000e+00, gamma = 1.000000e-09 
EER = 0.153869 for C = 1.000000e+00, gamma = 3.000000e-09 
EER = 0.138156 for C = 1.000000e+00, gamma = 5.000000e-09 
EER = 0.122443 for C = 1.000000e+00, gamma = 7.000000e-09 
EER = 0.109695 for C = 1.000000e+00, gamma = 9.000000e-09 
EER = 0.199229 for C = 1.000000e+00, gamma = 1.000000e-10 
EER = 0.198933 for C = 1.000000e+00, gamma = 3.000000e-10 
EER = 0.196561 for C = 1.000000e+00, gamma = 5.000000e-10 
EER = 0.189446 for C = 1.000000e+00, gamma = 7.000000e-10 
EER = 0.184109 for C = 1.000000e+00, gamma = 9.000000e-10 
EER = 0.000000 for C = 1.000000e+00, gamma = 1.000000e-11 
EER = 0.997925 for C = 1.000000e+00, gamma = 3.000000e-11 
EER = 0.199229 for C = 1.000000e+00, gamma = 5.000000e-11 
EER = 0.199229 for C = 1.000000e+00, gamma = 7.000000e-11 
EER = 0.199229 for C = 1.000000e+00, gamma = 9.000000e-11 
EER = 0.064631 for C = 3.000000e+00, gamma = 1.000000e-06 
EER = 0.126594 for C = 3.000000e+00, gamma = 3.000000e-06 
EER = 0.196561 for C = 3.000000e+00, gamma = 5.000000e-06 
EER = 0.264453 for C = 3.000000e+00, gamma = 7.000000e-06 
EER = 0.300623 for C = 3.000000e+00, gamma = 9.000000e-06 
EER = 0.027868 for C = 3.000000e+00, gamma = 1.000000e-07 
EER = 0.029054 for C = 3.000000e+00, gamma = 3.000000e-07 
EER = 0.057812 for C = 3.000000e+00, gamma = 5.000000e-07 
EER = 0.067596 for C = 3.000000e+00, gamma = 7.000000e-07 
EER = 0.057516 for C = 3.000000e+00, gamma = 9.000000e-07 
EER = 0.043581 for C = 3.000000e+00, gamma = 1.000000e-08 
EER = 0.020457 for C = 3.000000e+00, gamma = 3.000000e-08 <- New Best
EER = 0.021939 for C = 3.000000e+00, gamma = 5.000000e-08 
EER = 0.024311 for C = 3.000000e+00, gamma = 7.000000e-08 
EER = 0.027868 for C = 3.000000e+00, gamma = 9.000000e-08 
EER = 0.153572 for C = 3.000000e+00, gamma = 1.000000e-09 
EER = 0.109398 for C = 3.000000e+00, gamma = 3.000000e-09 
EER = 0.083309 for C = 3.000000e+00, gamma = 5.000000e-09 
EER = 0.064038 for C = 3.000000e+00, gamma = 7.000000e-09 
EER = 0.049807 for C = 3.000000e+00, gamma = 9.000000e-09 
EER = 0.198933 for C = 3.000000e+00, gamma = 1.000000e-10 
